,closeness_global,geometry
145,2.8923602756645422e-05,"LINESTRING (520321.9599999999 171353.540000001, 520389.9999999999 171405.9999999989)"
146,2.9012118820427048e-05,"LINESTRING (520389.9999999999 171405.9999999989, 520490.83 171480.1200000004)"
147,2.907354566385165e-05,"LINESTRING (520490.83 171480.1200000004, 520507.9999999999 171492.0000000003)"
148,2.91173979244148e-05,"LINESTRING (520507.9999999999 171492.0000000003, 520572.6299999998 171543.6800000017)"
149,2.9236207032459914e-05,"LINESTRING (520572.6299999998 171543.6800000017, 520699.9999999999 171693.0000000007)"
150,2.9343868684790547e-05,"LINESTRING (520699.9999999999 171693.0000000007, 520732.83 171737.8299999996)"
151,2.937116086537477e-05,"LINESTRING (520732.83 171737.8299999996, 520737.4999999999 171744.2000000008)"
152,2.9420390676906115e-05,"LINESTRING (520737.4999999999 171744.2000000008, 520804.9999999999 171825.9999999992)"
153,2.8816380243754198e-05,"LINESTRING (520246.9999999999 171285.9999999997, 520269.01 171307.1299999994)"
154,2.8733082768270628e-05,"LINESTRING (520142.9999999999 171150.0000000009, 520246.9999999999 171285.9999999997)"
155,2.8637322710639648e-05,"LINESTRING (520114 171096.0000000009, 520142.9999999999 171150.0000000009)"
156,2.8594607346991964e-05,"LINESTRING (520096.1699999998 171056.8200000011, 520114 171096.0000000009)"
157,2.8158037833564942e-05,"LINESTRING (519898.46 170615.800000001, 519864.6399999999 170549.2900000021)"
158,2.820914923439007e-05,"LINESTRING (519922.9999999999 170664.0000000009, 519898.46 170615.800000001)"
159,2.8121468332375407e-05,"LINESTRING (519864.6399999999 170549.2900000021, 519856.7499999999 170533.5000000007)"
160,2.8274675843793704e-05,"LINESTRING (519968.9999999999 170763.9999999998, 519922.9999999999 170664.0000000009)"
161,2.834367986714038e-05,"LINESTRING (519993.9999999999 170821.0000000002, 519968.9999999999 170763.9999999998)"
162,2.8441487115015673e-05,"LINESTRING (520065.9999999999 170985.9999999993, 519993.9999999999 170821.0000000002)"
163,2.8517020286779274e-05,"LINESTRING (520065.9999999999 170985.9999999993, 520068.9999999999 170991.9999999999)"
164,2.854838118224137e-05,"LINESTRING (520068.9999999999 170991.9999999999, 520096.1699999998 171056.8200000011)"
165,2.7886691638855665e-05,"LINESTRING (519769.9999999998 170314.9999999999, 519702.9999999998 170227.0000000006)"
166,2.7970509672055833e-05,"LINESTRING (519807.9999999999 170412.0000000007, 519769.9999999998 170314.9999999999)"
167,2.782985249270404e-05,"LINESTRING (519702.9999999998 170227.0000000006, 519677.21 170202.4500000008)"
168,2.8014279084920196e-05,"LINESTRING (519810.9999999999 170419.0000000009, 519807.9999999999 170412.0000000007)"
169,2.8053903350185024e-05,"LINESTRING (519844 170506.0000000005, 519810.9999999999 170419.0000000009)"
170,2.8102511913569148e-05,"LINESTRING (519856.7499999999 170533.5000000007, 519844 170506.0000000005)"
171,2.8391784999526536e-05,"LINESTRING (521597.2899999999 170549.9700000009, 521750.8599999999 170154.9400000004)"
172,2.8166979708165615e-05,"LINESTRING (521750.8599999999 170154.9400000004, 521745.9199999999 170018.3399999999)"
173,2.8202609284001607e-05,"LINESTRING (521750.8599999999 170154.9400000004, 521732.52 170111.9100000004)"
174,2.7442430751507796e-05,"LINESTRING (520987.3499999999 170077.5199999984, 520738.9999999999 169998.0000000017)"
175,2.7599259606235534e-05,"LINESTRING (520987.3499999999 170077.5199999984, 521130.26 170021.3300000002)"
176,2.8089890604552174e-05,"LINESTRING (521638.5599999999 169987.8700000008, 521673.74 170057.7999999999)"
177,2.8058376879960015e-05,"LINESTRING (521638.5599999999 169987.8700000008, 521640.1499999999 169987.3700000016)"
178,2.804675240670009e-05,"LINESTRING (521609.38 169998.9499999993, 521638.5599999999 169987.8700000008)"
179,2.8124171199583827e-05,"LINESTRING (521673.74 170057.7999999999, 521726 170041.000000001)"
180,2.815238365443931e-05,"LINESTRING (521673.74 170057.7999999999, 521732.52 170111.9100000004)"
181,2.796760955604367e-05,"LINESTRING (521443.9999999999 170041.9999999999, 521609.38 169998.9499999993)"
182,2.7875498144796863e-05,"LINESTRING (521379.2499999999 170036.8499999999, 521443.9999999999 170041.9999999999)"
183,2.80465808098023e-05,"LINESTRING (521745.9199999999 170018.3399999999, 521835.1999999998 169875.6600000011)"
184,2.806654610451043e-05,"LINESTRING (521745.9199999999 170018.3399999999, 521752.1 169901.1000000007)"
185,2.769301193707588e-05,"LINESTRING (521130.26 170021.3300000002, 521221.9999999999 170023)"
186,2.7747522776748805e-05,"LINESTRING (521221.9999999999 170023, 521271.9999999999 170026.0000000003)"
187,2.7773778066310365e-05,"LINESTRING (521271.9999999999 170026.0000000003, 521289.9999999999 170026.9999999999)"
188,2.7815492525348973e-05,"LINESTRING (521289.9999999999 170026.9999999999, 521379.2499999999 170036.8499999999)"
189,2.8155806511323028e-05,"LINESTRING (521732.52 170111.9100000004, 521726 170041.000000001)"
190,2.8087733119981257e-05,"LINESTRING (521726 170041.000000001, 521728.6299999999 169939.9599999997)"
191,2.7609937024058862e-05,"LINESTRING (519555.9999999999 170082.9999999999, 519417.6599999999 169943.5600000017)"
192,2.775046585901926e-05,"LINESTRING (519677.21 170202.4500000008, 519555.9999999999 170082.9999999999)"
193,2.795145790223391e-05,"LINESTRING (521763.99 169838.6800000009, 521800.9999999999 169806.9999999997)"
194,2.7983106504255488e-05,"LINESTRING (521757.6699999998 169870.2000000016, 521763.99 169838.6800000009)"
195,2.792809215579496e-05,"LINESTRING (521908.77 169822.1599999993, 521869.7599999999 169850.4500000017)"
196,2.7952910491705552e-05,"LINESTRING (521869.7599999999 169850.4500000017, 521857 169858.9999999998)"
197,2.7955989892923943e-05,"LINESTRING (521842.2 169831.6600000007, 521845.5499999999 169867.400000001)"
198,2.7964474144097847e-05,"LINESTRING (521857 169858.9999999998, 521845.5499999999 169867.400000001)"
199,2.79752166229849e-05,"LINESTRING (521845.5499999999 169867.400000001, 521835.1999999998 169875.6600000011)"
200,2.800801859448992e-05,"LINESTRING (521752.1 169901.1000000007, 521757.6699999998 169870.2000000016)"
201,2.7999042633002205e-05,"LINESTRING (521757.6699999998 169870.2000000016, 521683.9999999999 169903.0000000001)"
202,2.799489735994119e-05,"LINESTRING (521835.1999999998 169875.6600000011, 521697 169963.9999999997)"
203,2.803410228900465e-05,"LINESTRING (521728.6299999999 169939.9599999997, 521752.1 169901.1000000007)"
204,2.8030050682527342e-05,"LINESTRING (521683.9999999999 169903.0000000001, 521640.1499999999 169987.3700000016)"
205,2.8025126327516932e-05,"LINESTRING (521728.6299999999 169939.9599999997, 521683.9999999999 169903.0000000001)"
206,2.8033556904150048e-05,"LINESTRING (521640.1499999999 169987.3700000016, 521697 169963.9999999997)"
207,3.368387030943367e-05,"LINESTRING (518529.2999999999 166997.87, 518524 167024.0000000005)"
208,3.363180620552537e-05,"LINESTRING (518542.9999999999 166931.9999999992, 518529.2999999999 166997.87)"
209,3.371899391239492e-05,"LINESTRING (518524 167024.0000000005, 518518.0000000001 167059.9999999997)"
210,3.405524879724471e-05,"LINESTRING (518474.5099999999 167322.3200000004, 518470 167352.0000000017)"
211,3.402666033743948e-05,"LINESTRING (518477.7300000001 167302.1799999998, 518474.5099999999 167322.3200000004)"
212,3.409869028479559e-05,"LINESTRING (518470 167352.0000000017, 518464.6200000001 167398.1099999996)"
213,3.3992672181539036e-05,"LINESTRING (518484 167263.0000000006, 518477.7300000001 167302.1799999998)"
214,3.3941136308323264e-05,"LINESTRING (518492 167212.0000000009, 518484 167263.0000000006)"
215,3.390924718165793e-05,"LINESTRING (518493.01 167207.1499999997, 518492 167212.0000000009)"
216,3.389832549504952e-05,"LINESTRING (518495.49 167192.8999999997, 518493.01 167207.1499999997)"
217,3.385232770725463e-05,"LINESTRING (518506.7 167126.3299999996, 518495.49 167192.8999999997)"
218,3.379771639517192e-05,"LINESTRING (518511.43 167096.7500000002, 518506.7 167126.3299999996)"
219,3.377306306274617e-05,"LINESTRING (518513.6799999999 167082.7700000005, 518511.43 167096.7500000002)"
220,3.375223268354384e-05,"LINESTRING (518518.0000000001 167059.9999999997, 518513.6799999999 167082.7700000005)"
221,3.164563048754151e-05,"LINESTRING (518233.9999999999 165724.9999999996, 518215 165645.0000000001)"
222,3.170324837590546e-05,"LINESTRING (518242.3099999999 165758.2199999994, 518233.9999999999 165724.9999999996)"
223,3.1574738670715773e-05,"LINESTRING (518215 165645.0000000001, 518200.9999999999 165585.0000000009)"
224,3.174833339146715e-05,"LINESTRING (518254.9999999999 165813.0000000002, 518242.3099999999 165758.2199999994)"
225,3.1810469238813274e-05,"LINESTRING (518270.78 165879.1099999991, 518254.9999999999 165813.0000000002)"
226,3.185584428505282e-05,"LINESTRING (518275.9999999999 165901.0000000002, 518270.78 165879.1099999991)"
227,3.189138333365714e-05,"LINESTRING (518286.91 165947.819999999, 518275.9999999999 165901.0000000002)"
228,3.193060139985513e-05,"LINESTRING (518293.78 165976.6800000003, 518286.91 165947.819999999)"
229,3.196908211937662e-05,"LINESTRING (518304.8199999999 166021.6699999996, 518293.78 165976.6800000003)"
230,3.2003989369951916e-05,"LINESTRING (518310.13 166043.5000000001, 518304.8199999999 166021.6699999996)"
231,3.2027437833515764e-05,"LINESTRING (518315.65 166066.4899999999, 518310.13 166043.5000000001)"
232,3.268370569650902e-05,"LINESTRING (518200.0000000001 166787.9999999992, 518323.75 166671.1200000009)"
233,3.2713554411836274e-05,"LINESTRING (518165.89 166819.8900000001, 518200.0000000001 166787.9999999992)"
234,3.255134270029812e-05,"LINESTRING (518323.75 166671.1200000009, 518370 166433.9999999995)"
235,3.239376233657226e-05,"LINESTRING (518370 166433.9999999995, 518372.6899999999 166375.2300000002)"
236,3.35858591458819e-05,"LINESTRING (518546.8199999999 166916.7300000011, 518542.9999999999 166931.9999999992)"
237,3.355668385912288e-05,"LINESTRING (518556.9999999999 166881.0000000016, 518546.8199999999 166916.7300000011)"
238,3.491224646526513e-05,"LINESTRING (518307 167977.9999999997, 518194.8500000001 168042.4700000008)"
239,3.4770463797209284e-05,"LINESTRING (518369.1200000001 167888.1200000003, 518307 167977.9999999997)"
240,3.4995241675276314e-05,"LINESTRING (518189.02 168050.2900000003, 518194.8500000001 168042.4700000008)"
241,3.439390305699031e-05,"LINESTRING (518435.1099999999 167618.260000001, 518427.91 167639.74)"
242,3.436417225505237e-05,"LINESTRING (518444.2599999999 167590.9800000004, 518435.1099999999 167618.260000001)"
243,3.4538644725724116e-05,"LINESTRING (518427.91 167639.74, 518371.0000000001 167858.0000000005)"
244,3.429306258956608e-05,"LINESTRING (518455.9999999999 167496.9999999991, 518444.2599999999 167590.9800000004)"
245,3.422915527413208e-05,"LINESTRING (518457.3399999999 167480.6200000002, 518455.9999999999 167496.9999999991)"
246,3.4172416479183386e-05,"LINESTRING (518464.6200000001 167398.1099999996, 518457.3399999999 167480.6200000002)"
247,3.4684660390960865e-05,"LINESTRING (518371.0000000001 167858.0000000005, 518369.88 167882.4100000006)"
248,3.470243756303032e-05,"LINESTRING (518369.88 167882.4100000006, 518369.1200000001 167888.1200000003)"
249,3.204922589438959e-05,"LINESTRING (518320.1099999999 166085.1100000005, 518315.65 166066.4899999999)"
250,3.208491968142166e-05,"LINESTRING (518331.96 166134.5000000003, 518320.1099999999 166085.1100000005)"
