Route,Run,0
360,1,8768.962199892048
360,2,8090.086402719029
362,1,11153.082515841827
362,2,11478.994507126643
363,1,10829.065198993436
363,2,10540.833632629508
364,1,10850.302366472117
364,2,10666.262054965988
365,1,13680.975360040566
365,2,14048.148670066277
366,1,15038.766670793557
366,2,14915.68376883211
367,1,17229.486999610002
367,2,16551.610325645597
368,1,8640.494346776832
368,2,8435.87705562493
37,1,14016.17113514081
37,2,14136.101078631677
370,1,18265.533335314973
370,2,18435.42287617997
371,1,10976.278642972142
371,2,11828.73096435234
372,1,15501.674459472453
372,2,15512.449678521858
375,1,11094.01550778042
375,2,11209.606903925038
376,1,8781.514303341513
376,2,8687.001903257538
377,1,7277.503014478736
377,2,7818.507894090786
378,1,3827.0761305324063
378,2,3922.9593975535295
379,1,2902.2575919070478
379,2,2850.0661885975205
38,1,11479.590045804242
38,2,11489.910631472683
380,1,12600.769282975427
380,2,11955.268546843272
381,1,13017.4683811372
381,2,13120.651025746665
382,1,11976.292187397705
382,2,12110.289488324901
383,1,11126.171421677924
383,2,10669.621598615524
384,1,12526.02032847203
384,2,12540.51228173996
385,1,6152.307840698669
385,2,6202.954536905096
386,1,14336.506233867023
386,2,13117.600587067825
388,1,8922.513115374973
388,2,9205.08999932006
389,1,1398.7512859664034
389,2,1346.2003506200265
39,1,8769.141407057765
39,2,9168.091633651999
390,1,10382.543324527245
390,2,10578.226956959044
393,1,12265.294494538191
393,2,12165.122949772403
394,1,6875.636578951591
394,2,6924.379351175767
395,1,8005.609819300709
395,2,7948.424245632233
396,1,6455.944735818762
396,2,6601.072178309468
397,1,14227.575735204928
397,2,13806.292821554183
398,1,8745.789104459815
398,2,8877.940034309673
399,1,2821.8111418639655
399,2,2486.4866880730297
4,1,10775.445646743116
4,2,10619.202956615964
40,1,9092.900985109321
40,2,9122.879560830916
401,1,10828.26041382611
401,2,11001.382058282361
403,1,9667.762817025441
403,2,9668.228495505593
404,1,11129.380754106072
404,2,11432.085733823347
405,1,17351.70290995307
405,2,17254.6688071868
406,1,10802.955970451716
406,2,10977.956597856477
406,3,1025.3587095373748
406,4,285.27180021866866
407,1,20335.81147403041
407,2,20937.326379450515
41,1,7453.1491068617615
41,2,7467.704698855127
410,1,12919.455432445911
410,2,12997.210344465282
411,1,6335.741326332554
411,2,6447.441117771131
412,1,9272.140482313482
412,2,9688.401408199648
413,1,9556.09798565863
413,2,8979.176607546957
414,1,7327.5602495214525
414,2,7358.6756107513465
415,1,8174.578305500999
415,2,8211.380142011287
417,1,8641.16365713679
417,2,8265.370040821477
418,1,11132.612234815555
418,2,11229.175737364554
419,1,10944.20131578482
419,2,11120.925449925944
42,1,10793.868684317225
42,2,10369.585638016706
422,1,17025.524998899902
422,2,17460.201108849786
423,1,12220.92171387891
423,2,12515.758755460341
424,1,9542.709103372661
424,2,9362.974254167137
