,closeness_global,geometry
20,2.090782624491114e-05,"LINESTRING (8591234.966645813 3338809.929172609, 8591205.511508549 3338784.100297684)"
21,2.1050717074178705e-05,"LINESTRING (8591429.508587923 3338561.352134676, 8591451.716826335 3338549.332724673, 8591531.58856098 3338523.796274066)"
22,0.0,"LINESTRING (8596161.021092651 3329089.900539749, 8596168.446102686 3329081.377528094, 8596175.169799931 3329072.283785069, 8596181.158788536 3329062.682727001, 8596190.609813303 3329042.605503783, 8596196.83257284 3329021.310743588, 8596199.815935193 3328995.817954566, 8596198.179538677 3328970.198384939, 8596191.99017499 3328945.276425169, 8596181.425955314 3328921.876459616, 8596175.314515268 3328912.021852289, 8596161.833724933 3328895.064842342, 8596145.948433597 3328880.327353862, 8596128.003731681 3328868.177181999, 8596108.433765199 3328858.880659243, 8596087.683812117 3328852.653387742, 8596066.23254624 3328849.647557122, 8596044.558641382 3328849.913896514, 8596022.973792117 3328853.515820278, 8596002.179311238 3328860.389916929, 8595976.687147846 3328874.22690084, 8595959.510550417 3328888.025850541, 8595944.660530346 3328904.310658852, 8595932.493310003 3328922.675482154, 8595925.224147253 3328937.742773233, 8595919.780624151 3328953.571056982, 8595916.218400447 3328969.919360194, 8595914.504080288 3328990.529158185, 8595915.784254434 3329011.164354047, 8595920.025527032 3329031.406408856, 8595927.161106391 3329050.81141511, 8595937.024013277 3329068.986194992, 8595957.707174666 3329094.339610478, 8595979.804093588 3329111.931028192, 8595987.874756671 3329116.763281829, 8595996.012211448 3329120.948699784, 8596013.355788114 3329127.835617646, 8596031.456337316 3329132.388848907, 8596042.699605886 3329133.999602401, 8596054.03193005 3329134.697172873, 8596065.431045907 3329135.305961678, 8596080.069558946 3329132.883489725, 8596094.496564953 3329129.763447963, 8596108.533952741 3329125.172168326, 8596122.014743077 3329119.147701595, 8596134.805352569 3329111.766148178, 8596148.564441629 3329101.619689685, 8596154.542298287 3329096.001091619, 8596161.021092651 3329089.900539749)"
23,3.759723243969671e-05,"LINESTRING (8596193.203557439 3328647.637002665, 8596186.279485112 3328644.796092568, 8596163.637100685 3328636.47628792, 8596150.423477126 3328633.800254297, 8596113.665781269 3328626.469700494, 8596076.340356003 3328622.956616454, 8596064.974635994 3328622.119564074, 8596033.782914674 3328623.616112303)"
24,3.756420611519347e-05,"LINESTRING (8596247.482941149 3328674.118372371, 8596227.668071788 3328663.109827224, 8596207.229813278 3328653.356872599, 8596193.203557439 3328647.637002665)"
25,3.750895131214257e-05,"LINESTRING (8596232.298962606 3328633.965128391, 8596227.400905009 3328638.442094951, 8596221.790402675 3328643.38832038, 8596215.211420769 3328646.914092449, 8596207.908862174 3328649.082823216, 8596200.528379934 3328649.095505852, 8596193.203557439 3328647.637002665)"
26,3.7319497057190234e-05,"LINESTRING (8596033.782914674 3328623.616112303, 8596039.003798792 3328724.950574479, 8596041.575279029 3328777.152708623, 8596043.423182577 3328816.215664005, 8596044.480717739 3328838.651549624, 8596044.558641382 3328849.913896514)"
27,3.7566050268980675e-05,"LINESTRING (8596033.782914674 3328623.616112303, 8596006.765674258 3328626.697987577, 8595975.095279127 3328632.925153371, 8595944.103932891 3328641.942500449, 8595914.036538428 3328653.661255991, 8595889.846813077 3328664.657110672)"
28,3.766920585947745e-05,"LINESTRING (8596010.038467288 3328204.031162308, 8596011.485620668 3328244.931362333, 8596013.244468622 3328274.937604497, 8596018.264977656 3328360.200850243, 8596021.827201363 3328419.998320722, 8596022.317007123 3328428.952111429, 8596026.992425736 3328508.306295942, 8596031.589920705 3328586.367330556, 8596033.782914674 3328623.616112303)"
29,3.7078560203909546e-05,"LINESTRING (8596939.021881854 3326320.526007026, 8596943.485793438 3326457.969781471, 8596943.986731146 3326481.251291987, 8596946.146329267 3326509.554359582, 8596954.306047942 3326616.122542576, 8596971.86113164 3326680.071470142, 8596989.193576356 3326707.601432182, 8597023.825069943 3326731.69495095, 8597103.696804585 3326773.427564759, 8597152.866623668 3326799.1063119, 8597159.189570747 3326802.441382445, 8597166.236094514 3326805.776453829, 8597193.754272638 3326819.801516, 8597291.30354242 3326869.65020643)"
30,3.731287311637319e-05,"LINESTRING (8596625.813362559 3326116.055814558, 8596647.119913099 3326121.165946086, 8596654.556055084 3326124.982695727, 8596863.280100321 3326232.016974085, 8596871.250575861 3326236.962305685, 8596898.902337374 3326254.093455756, 8596916.023275059 3326267.953092181, 8596929.192370817 3326284.234696307, 8596939.021881854 3326320.526007026)"
31,3.729816046176804e-05,"LINESTRING (8597000.036094761 3326217.016146132, 8596967.285900569 3326253.586241523, 8596950.910803473 3326281.7620215, 8596939.021881854 3326320.526007026)"
32,3.670285867331748e-05,"LINESTRING (8597291.30354242 3326869.65020643, 8597300.353817021 3326875.153736476, 8597305.864131816 3326881.303997397, 8597323.886757376 3326901.416004485, 8597330.599322671 3326908.517350943, 8597337.467735251 3326918.078812688, 8597343.434459958 3326929.859456028, 8597348.86685111 3326947.726996334)"
33,3.683989520030622e-05,"LINESTRING (8597291.30354242 3326869.65020643, 8597327.070494812 3326881.976087937, 8597344.926141135 3326884.626407571, 8597364.863461936 3326883.39635485, 8597401.465310508 3326873.822237063)"
34,3.727037848553399e-05,"LINESTRING (8598368.108108813 3327317.015999169, 8598353.870345939 3327346.119771007, 8598353.825818144 3327355.098202348, 8598358.701611841 3327444.426315093, 8598361.306487925 3327483.079551342, 8598361.384411568 3327487.746353861, 8598363.388162404 3327614.372041068, 8598353.870345939 3327653.545719898, 8598358.434445063 3327684.717347262, 8598365.302857645 3327733.795687961, 8598392.07519518 3327820.019288452, 8598405.066179756 3327886.662562726, 8598405.489193821 3327903.390013534, 8598401.459428255 3327925.038080006, 8598400.858303003 3327926.674051311, 8598388.624290965 3327960.129074482, 8598379.651940007 3327978.758917229, 8598373.117485898 3327992.303298507)"
35,3.697573852988276e-05,"LINESTRING (8598368.108108813 3327317.015999169, 8598322.177686911 3327345.434975646)"
36,3.675331770307726e-05,"LINESTRING (8598339.042589767 3326889.445171892, 8598368.998664739 3326939.484338139, 8598373.239937337 3326960.471424047, 8598373.540499963 3326980.482102317, 8598364.590412904 3326994.811693954, 8598346.667974886 3327008.545290496, 8598342.115007712 3327019.907538048, 8598343.81819592 3327111.858404766, 8598347.269100135 3327207.39870359, 8598358.913118873 3327227.409752924, 8598359.514244122 3327265.618513026, 8598368.163768558 3327282.345183634, 8598371.15826286 3327300.263922309, 8598368.108108813 3327317.015999169)"
37,3.757489595291321e-05,"LINESTRING (8598373.117485898 3327992.303298507, 8598352.66809544 3328005.277002481)"
